K,scenario_seed,algorithm_seed,GR_MR_status,GR_MR_energy_j,FTR_NM_status,FTR_NM_energy_j,RGA_MR_status,RGA_MR_energy_j,B_ALNS_status,B_ALNS_energy_j,ESI_ALNS_status,ESI_ALNS_energy_j
50,45,100,optimal,233506.69122147825,optimal,234276.96243383703,optimal,218491.91677000126,optimal,186697.24119728155,optimal,183137.35715041464
50,45,101,optimal,233506.69122147825,optimal,234276.96243383703,optimal,221822.67632839733,optimal,165428.9477732258,optimal,165428.9477732258
50,45,102,optimal,233506.69122147825,optimal,234276.96243383703,optimal,233506.69122147825,optimal,179150.21329499572,optimal,170279.20664622515
50,46,100,optimal,227768.55793589045,optimal,224695.37926161505,optimal,227768.55793589045,optimal,145847.9870824299,optimal,145847.9870824299
50,46,101,optimal,227768.55793589045,optimal,224695.37926161505,optimal,226234.44604521597,optimal,146439.33916212755,optimal,146439.33916212755
50,46,102,optimal,227768.55793589045,optimal,224695.37926161505,optimal,227768.55793589045,optimal,172689.24012893607,optimal,172689.24012893607
50,47,100,infeasible_precheck,,optimal,229866.96286485353,optimal,251771.746302342,optimal,179418.36352666336,optimal,179334.4434922505
50,47,101,infeasible_precheck,,optimal,229866.96286485353,optimal,255800.08385497343,optimal,185532.7805455369,optimal,168656.3294884225
50,47,102,infeasible_precheck,,optimal,229866.96286485353,optimal,255777.32409210704,optimal,171708.15945770845,optimal,171325.29741084646
50,48,100,optimal,221790.31420286334,optimal,222331.88421785508,optimal,217376.6045438144,optimal,157206.4127796047,optimal,154741.39979191378
50,48,101,optimal,221790.31420286334,optimal,222331.88421785508,optimal,216671.90132751616,optimal,137634.51960220715,optimal,137634.51960220715
50,48,102,optimal,221790.31420286334,optimal,222331.88421785508,optimal,219854.35871803708,optimal,152722.63858109099,optimal,152590.8422162745
50,49,100,optimal,218629.5610422192,optimal,218629.5610422192,optimal,213677.0398704767,optimal,146000.83914488167,optimal,146000.83914488167
50,49,101,optimal,218629.5610422192,optimal,218629.5610422192,optimal,218629.5610422192,optimal,159700.28693685247,optimal,158437.84053443614
50,49,102,optimal,218629.5610422192,optimal,218629.5610422192,optimal,218629.5610422192,optimal,156689.10229406413,optimal,156689.10229406413
50,50,100,optimal,218081.62475146266,optimal,218608.16729036553,optimal,218081.62475146266,optimal,165688.25588262925,optimal,165688.25588262925
50,50,101,optimal,218081.62475146266,optimal,218608.16729036553,optimal,217581.05588689214,optimal,181840.4124919869,optimal,172027.75215146138
50,50,102,optimal,218081.62475146266,optimal,218608.16729036553,optimal,218081.62475146266,optimal,164998.8800006251,optimal,164881.89390394825
50,51,100,optimal,233706.5723995139,optimal,241888.4427105912,optimal,233706.5723995139,optimal,176253.60437053308,optimal,176012.55959830456
50,51,101,optimal,233706.5723995139,optimal,241888.4427105912,optimal,233706.5723995139,optimal,178674.6170872788,optimal,176127.81874580108
50,51,102,optimal,233706.5723995139,optimal,241888.4427105912,optimal,233706.5723995139,optimal,167883.74724865795,optimal,167883.74724865795
50,52,100,optimal,231661.62849978998,optimal,232304.44174327503,optimal,228965.05560448125,optimal,177234.26937657633,optimal,157086.04283109392
50,52,101,optimal,231661.62849978998,optimal,232304.44174327503,optimal,231661.62849978998,optimal,172217.0513615888,optimal,172217.0513615888
