scenario_seed,algorithm_seed,generic_j,hybrid_j
45,100,186697.24119728155,183137.35715041464
45,101,165428.9477732258,165428.9477732258
45,102,179150.21329499572,170279.20664622515
46,100,145847.9870824299,145847.9870824299
46,101,146439.33916212755,146439.33916212755
46,102,172689.24012893607,172689.24012893607
47,100,179418.36352666336,179334.4434922505
47,101,185532.7805455369,168656.3294884225
47,102,171708.15945770845,171325.29741084646
48,100,157206.4127796047,154741.39979191378
48,101,137634.51960220715,137634.51960220715
48,102,152722.63858109099,152590.8422162745
49,100,146000.83914488167,146000.83914488167
49,101,159700.28693685247,158437.84053443614
49,102,156689.10229406413,156689.10229406413
50,100,165688.25588262925,165688.25588262925
50,101,181840.4124919869,172027.75215146138
50,102,164998.8800006251,164881.89390394825
51,100,176253.60437053308,176012.55959830456
51,101,178674.6170872788,176127.81874580108
51,102,167883.74724865795,167883.74724865795
52,100,177234.26937657633,157086.04283109392
52,101,172217.0513615888,172217.0513615888
52,102,155549.90149298127,155398.45356271364
