tasks,scenario_seed,algorithm_seed,method,comparison,metric,difference,energy_tolerance_j
50,45,100,fixed_contacts,stage2_minus_stage1,normalized_cpu,-0.5946097701451982,1.8612489578888476
50,45,100,fixed_contacts,stage2_minus_stage1,energy_j,1.5574118086369708,1.8612489578888476
50,45,100,fixed_contacts,stage2_minus_stage1,mean_delay_s,-0.9476580538443216,1.8612489578888476
50,45,100,fixed_contacts,stage2_minus_stage1,p95_delay_s,-0.5394210242562849,1.8612489578888476
50,45,100,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,1.237305014001322e-08,1.8612489578888476
50,45,100,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.6633104838865874,2.3350669122147827
50,45,100,fixed_task_route,stage2_minus_stage1,energy_j,1.9385970457806252,2.3350669122147827
50,45,100,fixed_task_route,stage2_minus_stage1,mean_delay_s,0.8134099530934407,2.3350669122147827
50,45,100,fixed_task_route,stage2_minus_stage1,p95_delay_s,-0.7362369139692646,2.3350669122147827
50,45,100,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,3.1917790010993485e-07,2.3350669122147827
50,45,100,full,stage2_minus_stage1,normalized_cpu,-0.9017349792223253,1.7513615684301027
50,45,100,full,stage2_minus_stage1,energy_j,1.4567757093464024,1.7513615684301027
50,45,100,full,stage2_minus_stage1,mean_delay_s,1.4470679267443245,1.7513615684301027
50,45,100,full,stage2_minus_stage1,p95_delay_s,-0.8365247681694541,1.7513615684301027
50,45,100,full,stage2_minus_stage1,min_deadline_slack_s,2.8740203106281115e-07,1.7513615684301027
50,45,101,fixed_contacts,stage2_minus_stage1,normalized_cpu,-0.5652034648061471,1.9612974834769767
50,45,101,fixed_contacts,stage2_minus_stage1,energy_j,1.631384616077412,1.9612974834769767
50,45,101,fixed_contacts,stage2_minus_stage1,mean_delay_s,0.12579752871192795,1.9612974834769767
50,45,101,fixed_contacts,stage2_minus_stage1,p95_delay_s,-0.8755084365756716,1.9612974834769767
50,45,101,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,1.7108123984144186e-07,1.9612974834769767
50,45,101,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.6633104838865874,2.3350669122147827
50,45,101,fixed_task_route,stage2_minus_stage1,energy_j,1.9385970457806252,2.3350669122147827
50,45,101,fixed_task_route,stage2_minus_stage1,mean_delay_s,0.8134099530934407,2.3350669122147827
50,45,101,fixed_task_route,stage2_minus_stage1,p95_delay_s,-0.7362369139692646,2.3350669122147827
50,45,101,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,3.1917790010993485e-07,2.3350669122147827
50,45,101,full,stage2_minus_stage1,normalized_cpu,-0.6904667769188235,1.7409348217045963
50,45,101,full,stage2_minus_stage1,energy_j,1.4497018732945435,1.7409348217045963
50,45,101,full,stage2_minus_stage1,mean_delay_s,0.8987181161520823,1.7409348217045963
50,45,101,full,stage2_minus_stage1,p95_delay_s,-0.8014610558403774,1.7409348217045963
50,45,101,full,stage2_minus_stage1,min_deadline_slack_s,7.162469728427823e-08,1.7409348217045963
50,45,102,fixed_contacts,stage2_minus_stage1,normalized_cpu,-0.373542821142392,1.9768643651409694
50,45,102,fixed_contacts,stage2_minus_stage1,energy_j,1.6342991619894747,1.9768643651409694
50,45,102,fixed_contacts,stage2_minus_stage1,mean_delay_s,-0.6448240410145445,1.9768643651409694
50,45,102,fixed_contacts,stage2_minus_stage1,p95_delay_s,-6.099979007652166,1.9768643651409694
50,45,102,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,3.463986786300666e-08,1.9768643651409694
50,45,102,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.6633104838865874,2.3350669122147827
50,45,102,fixed_task_route,stage2_minus_stage1,energy_j,1.9385970457806252,2.3350669122147827
50,45,102,fixed_task_route,stage2_minus_stage1,mean_delay_s,0.8134099530934407,2.3350669122147827
50,45,102,fixed_task_route,stage2_minus_stage1,p95_delay_s,-0.7362369139692646,2.3350669122147827
50,45,102,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,3.1917790010993485e-07,2.3350669122147827
50,45,102,full,stage2_minus_stage1,normalized_cpu,-0.6818806371065524,1.7034469133521586
50,45,102,full,stage2_minus_stage1,energy_j,1.418897810013732,1.7034469133521586
50,45,102,full,stage2_minus_stage1,mean_delay_s,0.42023465647829994,1.7034469133521586
50,45,102,full,stage2_minus_stage1,p95_delay_s,-5.485097893117427,1.7034469133521586
50,45,102,full,stage2_minus_stage1,min_deadline_slack_s,-2.853698219951184e-07,1.7034469133521586
50,46,100,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.687461491061667,2.277685579358905
50,46,100,fixed_task_route,stage2_minus_stage1,energy_j,1.9005962202791125,2.277685579358905
50,46,100,fixed_task_route,stage2_minus_stage1,mean_delay_s,0.9336967253281614,2.277685579358905
50,46,100,fixed_task_route,stage2_minus_stage1,p95_delay_s,-2.973266125138366,2.277685579358905
50,46,100,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,-3.052036845474504e-09,2.277685579358905
50,46,101,fixed_contacts,stage2_minus_stage1,normalized_cpu,-1.2981947307863595,2.1106405940642485
50,46,101,fixed_contacts,stage2_minus_stage1,energy_j,1.7520785772358067,2.1106405940642485
50,46,101,fixed_contacts,stage2_minus_stage1,mean_delay_s,1.756707640891591,2.1106405940642485
50,46,101,fixed_contacts,stage2_minus_stage1,p95_delay_s,-0.3059774042088179,2.1106405940642485
50,46,101,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,2.696137642033136e-07,2.1106405940642485
50,46,101,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.687461491061667,2.277685579358905
