tasks,scenario_seed,algorithm_seed,method,stage,timeline,available,solver_status,qualified,audit_passed,max_normalized_violation,worst_constraint,energy_j,normalized_mec_cpu,total_distance_m,contacts,offloaded_tasks,offload_ratio,mean_delay_s,p95_delay_s,min_deadline_slack_s,mean_carrying_wait_s,flight_j,collection_j,upload_hover_j,transmit_j,local_compute_j,carrying_wait_status
50,45,100,fixed_contacts,1,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,186124.89578888466,0.7744845477090442,9744.652150940037,1,1,0.02,211.7134907108444,356.97123670863954,7.701430604356574e-09,7.162042613805312,175403.7387169207,10000.0,92.61532873472744,0.04630766436736372,628.4954355649107,available
50,45,100,fixed_contacts,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,186124.89578884252,0.7744845477090442,9744.652150940037,1,1,0.02,211.41451622143362,356.97123629973026,1.25271810702543e-07,7.162042613805312,175403.7387169207,10000.0,92.61532869259464,0.04630766434629732,628.4954355649107,available
50,45,100,fixed_contacts,2,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,186126.4532006933,0.17987477756384593,9744.652150940037,1,1,0.02,211.5376357043484,356.9231223726536,1.5451178114744835e-09,7.162042613805312,175403.7387169207,10000.0,92.61535861376225,0.04630767930688113,630.052817479538,available
50,45,100,fixed_contacts,2,reconstructed,True,optimal,True,True,1.0092936587501422e-13,upload_epi::G_U2_1,186126.4531744997,0.17987477756384593,9744.652150940037,1,1,0.02,210.4668581675893,356.431815275474,1.3764486084255623e-07,7.162042613805312,175403.7387169207,10000.0,92.61533243326119,0.0463076662166306,630.052817479538,available
50,45,100,fixed_task_route,1,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,233506.69122147828,0.7154722788711456,12379.36650709252,1,1,0.02,212.26633034230406,365.21998049800595,6.348557235469343e-09,54.41414843392391,222828.59712766536,10000.0,76.69751384432755,0.038348756922163774,601.3582312116833,available
50,45,100,fixed_task_route,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,233506.69122143596,0.7154722788711456,12379.36650709252,1,1,0.02,211.48144813605177,365.21997994149075,9.578832305123797e-08,54.41414843392391,222828.59712766536,10000.0,76.69751380204531,0.03834875690102266,601.3582312116833,available
50,45,100,fixed_task_route,2,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,233508.62981852406,0.05216179498455823,12379.36650709252,1,1,0.02,212.61121283453542,365.067918169411,2.0348807083792053e-09,54.41414843392391,222828.59712766536,10000.0,76.69760069453686,0.03834880034726843,603.2967413638133,available
50,45,100,fixed_task_route,2,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,233508.6297370252,0.05216179498455823,12379.36650709252,1,1,0.02,212.2948580891452,364.4837430275215,4.149662231611728e-07,54.41414843392391,222828.59712766536,10000.0,76.69751923641985,0.03834875961820993,603.2967413638133,available
50,45,100,full,1,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_2,175136.15684301034,1.6909856756210893,9110.163965410004,3,5,0.1,230.91496705928205,370.38503478013314,1.2655334558075992e-08,40.29125091114914,163982.95137738006,10000.0,669.8028426008236,0.3349014213004119,483.0677216081806,available
50,45,100,full,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_2,175136.15684292722,1.6909856756210893,9110.163965410004,3,5,0.1,227.7215847857668,370.385029912669,1.895755872283189e-07,40.291250911114886,163982.95137738006,10000.0,669.8028425177196,0.3349014212588598,483.0677216081806,available
50,45,100,full,2,saved,True,optimal,True,True,1.6929520411808465e-05,mec_task_complete::G_U2_2::1::S36,175137.61361871968,0.789250696398764,9110.163965410004,3,5,0.1,231.42019779757888,369.94359501180026,1.2846612662542611e-11,40.29125100845723,163982.95137738006,10000.0,669.847581706822,0.33492379085341106,484.47973584194904,available
50,45,100,full,2,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_2,175137.56885933896,0.789250696398764,9110.163965410004,3,5,0.1,229.16865271251112,369.54850514449953,4.769776182911301e-07,40.29125091120411,163982.95137738006,10000.0,669.802844694606,0.334901422347303,484.47973584194904,available
50,45,101,fixed_contacts,1,saved,True,optimal,True,True,3.128367221837503e-05,local_complete::S33,196129.74834769766,0.7951939280522826,10300.449228014777,1,2,0.04,221.47390352556877,376.1414880825367,7.22627646609908e-09,32.41764896068052,185408.086104266,10000.0,169.31284255318707,0.08465642127659354,552.2647444571929,available
50,45,101,fixed_contacts,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,196129.74834762976,0.7951939280522826,10300.449228014777,1,2,0.04,220.37006880350654,376.14148789103047,6.938648766663391e-08,32.41764896068052,185408.086104266,10000.0,169.31284248534442,0.08465642124267221,552.2647444571929,available
50,45,101,fixed_contacts,2,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,196131.37973231374,0.2299904632461355,10300.449228014777,1,2,0.04,221.58251199797957,376.12169074792627,1.113846792577533e-09,32.41764896068052,185408.086104266,10000.0,169.3128905054883,0.08465644525274416,553.8960810970269,available
50,45,101,fixed_contacts,2,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,196131.37968493853,0.2299904632461355,10300.449228014777,1,2,0.04,220.49586633221847,375.2659794544548,2.4046772750807577e-07,32.41764896068052,185408.086104266,10000.0,169.31284315394092,0.08465642157697047,553.8960810970269,available
50,45,101,fixed_task_route,1,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,233506.69122147828,0.7154722788711456,12379.36650709252,1,1,0.02,212.26633034230406,365.21998049800595,6.348557235469343e-09,54.41414843392391,222828.59712766536,10000.0,76.69751384432755,0.038348756922163774,601.3582312116833,available
50,45,101,fixed_task_route,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,233506.69122143596,0.7154722788711456,12379.36650709252,1,1,0.02,211.48144813605177,365.21997994149075,9.578832305123797e-08,54.41414843392391,222828.59712766536,10000.0,76.69751380204531,0.03834875690102266,601.3582312116833,available
50,45,101,fixed_task_route,2,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,233508.62981852406,0.05216179498455823,12379.36650709252,1,1,0.02,212.61121283453542,365.067918169411,2.0348807083792053e-09,54.41414843392391,222828.59712766536,10000.0,76.69760069453686,0.03834880034726843,603.2967413638133,available
50,45,101,fixed_task_route,2,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,233508.6297370252,0.05216179498455823,12379.36650709252,1,1,0.02,212.2948580891452,364.4837430275215,4.149662231611728e-07,54.41414843392391,222828.59712766536,10000.0,76.69751923641985,0.03834875961820993,603.2967413638133,available
50,45,101,full,1,saved,True,optimal,True,True,2.0629735899355883e-05,upload_epi::G_U2_2,174093.48217045958,1.7602955282373047,9060.441061638898,4,4,0.08,234.01585439244283,370.38503633266134,6.318146006378811e-10,35.23556964280585,163087.93910950015,10000.0,456.39899039070866,0.22819949519535435,548.9158710735023,available
50,45,101,full,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,174093.48217044806,1.7602955282373047,9060.441061638898,4,4,0.08,232.0449341594507,370.3850361881419,1.2085251910320949e-08,35.235569645642435,163087.93910950015,10000.0,456.3989903791948,0.22819949518959742,548.9158710735023,available
50,45,101,full,2,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,174094.93187233288,1.0698287513184812,9060.441061638898,4,4,0.08,234.30202505605132,370.2718071678836,3.75734998669941e-11,35.235569664374445,163087.93910950015,10000.0,456.41108098956204,0.228205540494781,550.353476302658,available
50,45,101,full,2,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,174094.9197803975,1.0698287513184812,9060.441061638898,4,4,0.08,232.94365227560277,369.5835751323015,8.370994919459918e-08,35.235569645696735,163087.93910950015,10000.0,456.3989950971236,0.22819949754856178,550.353476302658,available
50,45,102,fixed_contacts,1,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,197686.4365140969,0.8783705429399072,10382.575045631744,1,2,0.04,211.6772176202884,366.3112879489434,6.110838057793444e-09,72.5701912351552,186886.35082137136,10000.0,183.21098527454524,0.09160549263727263,616.7831019583339,available
50,45,102,fixed_contacts,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,197686.436514082,0.8783705429399072,10382.575045631744,1,2,0.04,211.08300017606126,366.3112867884881,1.274597138944955e-07,72.5701912351552,186886.35082137136,10000.0,183.2109852596502,0.09160549262982509,616.7831019583339,available
50,45,102,fixed_contacts,2,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,197688.07081325888,0.5048277217975152,10382.575045631744,1,2,0.04,211.57011852720743,365.75441528281294,1.5279510989785194e-10,72.5701912351552,186886.35082137136,10000.0,183.21101766389646,0.09160550883194823,618.4173687147661,available
50,45,102,fixed_contacts,2,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,197688.07078093223,0.5048277217975152,10382.575045631744,1,2,0.04,210.43817613504672,360.2113077808359,1.6209958175750216e-07,72.5701912351552,186886.35082137136,10000.0,183.2109853534041,0.09160549267670207,618.4173687147661,available
50,45,102,fixed_task_route,1,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,233506.69122147828,0.7154722788711456,12379.36650709252,1,1,0.02,212.26633034230406,365.21998049800595,6.348557235469343e-09,54.41414843392391,222828.59712766536,10000.0,76.69751384432755,0.038348756922163774,601.3582312116833,available
50,45,102,fixed_task_route,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,233506.69122143596,0.7154722788711456,12379.36650709252,1,1,0.02,211.48144813605177,365.21997994149075,9.578832305123797e-08,54.41414843392391,222828.59712766536,10000.0,76.69751380204531,0.03834875690102266,601.3582312116833,available
50,45,102,fixed_task_route,2,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,233508.62981852406,0.05216179498455823,12379.36650709252,1,1,0.02,212.61121283453542,365.067918169411,2.0348807083792053e-09,54.41414843392391,222828.59712766536,10000.0,76.69760069453686,0.03834880034726843,603.2967413638133,available
