K,profile,comparable_pairs,full_better,equal,ablated_better,mean_full_advantage_pct,median_full_advantage_pct
30,no-route,9,0,9,0,0.000000000,0.000000000
30,no-contact,9,0,9,0,0.000000000,0.000000000
30,no-batch,9,1,8,0,0.002659103,0.000000000
30,no-widening,9,0,9,0,0.000000000,0.000000000
50,no-route,9,5,4,0,1.324130999,0.046773381
50,no-contact,9,0,9,0,0.000000000,0.000000000
50,no-batch,9,1,8,0,0.407803371,0.000000000
50,no-widening,9,0,9,0,0.000000000,0.000000000
70,no-route,9,4,5,0,0.766751212,0.000000000
70,no-contact,9,1,8,0,0.008454151,0.000000000
70,no-batch,9,0,9,0,0.000000000,0.000000000
70,no-widening,9,0,9,0,0.000000000,0.000000000
80,no-route,9,6,3,0,0.708574666,0.649272612
80,no-contact,9,3,5,1,0.302009485,0.000000000
80,no-batch,9,2,6,1,0.008964531,0.000000000
80,no-widening,9,0,9,0,0.000000000,0.000000000
